,Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*,BBL
1019,2.0,3789.0,21.0,2025696.0,"X119 within (X119, X915)",DOE,67,113.9,5.7,55,128.2,6.9,2037890021
1020,2.0,3790.0,40.0,2025717.0,X125,DOE,87,80.9,3.7,73,100.2,5,2037900040
1021,2.0,3817.0,1.0,2026706.0,X036,DOE,34,123.4,5.2,83,109.2,4.8,2038170001
1022,2.0,3834.0,70.0,2103494.0,X194,DOE,20,157,4.9,24,173.8,6.2,2038340070
1023,2.0,3842.0,2.0,2027195.0,X833,DOE,1,167.8,5,75,156.5,5,2038420002
1024,2.0,3864.0,1.0,2027459.0,"X420 within (X420, X421, X423)",DOE,59,187.5,7.9,63,177.5,8.2,2038640001
1025,2.0,3864.0,1.0,2027459.0,"X423 within (X420, X421, X423)",DOE,59,187.5,7.9,63,177.5,8.2,2038640001
1026,2.0,3921.0,30.0,2028640.0,X102,DOE,35,152.3,5.5,45,156,5.7,2039210030
1027,2.0,3946.0,7.0,2041211.0,"X106 within (X106, X913)",DOE,61,126.6,5.8,67,136.2,7.2,2039460007
1028,2.0,3948.0,55.0,2041247.0,X127,DOE,60,95.8,5.2,67,115.1,6.4,2039480055
1029,2.0,3983.0,1.0,2041864.0,X012,DOE,22,164.9,7.5,74,119.6,4.2,2039830001
1030,2.0,4006.0,3.0,2042451.0,X879,DOE,31,181.4,5.6,43,168.4,5.4,2040060003
1031,2.0,4091.0,1.0,2116414.0,X498,DOE,Not Available,Not Available,2.4,29,166.7,5.2,2040910001
1032,2.0,4125.0,1.0,2045344.0,X083,DOE,86,110.9,5.2,91,119.5,6,2041250001
1033,2.0,4125.0,15.0,2117664.0,X981,DOE,13,185.1,5.7,81,188.2,6.2,2041250015
1034,2.0,4133.0,200.0,2045725.0,X722,DOE,37,154.7,5.8,24,175.1,7.4,2041330200
1035,2.0,4171.0,1.0,2046140.0,"X071 within (X071, X948)",DOE,40,106.4,4.4,79,89.3,4,2041710001
1036,2.0,4275.0,1.0,2048608.0,"X108 within (X108, X946)",DOE,22,208.4,10,58,184.5,6.9,2042750001
1037,2.0,4288.0,1.0,2048794.0,"X105 within (X105, X935)",DOE,35,116.9,5,63,113.7,5.3,2042880001
1038,2.0,4288.0,1.0,2048794.0,"X935 within (X105, X935)",DOE,35,116.9,5,63,113.7,5.3,2042880001
1039,2.0,4290.0,48.0,2048811.0,X839,DOE,2,184.2,5.4,30,186.7,6,2042900048
1040,2.0,4293.0,31.0,2048831.0,X292,DOE,Not Available,Not Available,Not Available,4,228.6,7.5,2042930031
1041,2.0,4341.0,13.0,2049999.0,"X096 within (X096, X912)",DOE,18,133.8,5.1,23,125.9,6.2,2043410013
1042,2.0,4341.0,13.0,2049999.0,"X912 within (X096, X912)",DOE,18,133.8,5.1,23,125.9,6.2,2043410013
1043,2.0,4358.0,1.0,2050179.0,"X415 within (X415, X416)",DOE,72,121.9,4.8,72,128.2,5.4,2043580001
1044,2.0,4432.0,1.0,2051313.0,X135,DOE,51,91.9,4.7,87,88.3,4.6,2044320001
1045,2.0,4444.0,16.0,2051571.0,"X089 within (X089, X919)",DOE,77,97.9,3.9,91,98.8,4.1,2044440016
1046,2.0,4444.0,16.0,2051571.0,"X919 within (X089, X919)",DOE,77,97.9,3.9,91,98.8,4.1,2044440016
1047,2.0,4474.0,1.0,2052739.0,"X097 within (X097, X917, X997)",DOE,45,146,4.8,73,144.7,5,2044740001
